username,profile_link,full_name,is_business,is_private,is_verified,category,bio,external_url,email,phone,phone_country_code,city,address,posts_count,followers,following,source_hashtag,scraped_at
leadsweeps,https://www.instagram.com/leadsweeps/,LeadSweeps Business Automation Solutions,True,False,True,Software Company,"AI Receptionists & Call Automation
Outbound + inbound calls, 24/7
Built for businesses that want to scale 
Book a demo today 📩",http://leadsweeps.com,,,,,,69,6736,15,capetownbusiness,2026-04-25T21:14:12.438963
team_zamedia,https://www.instagram.com/team_zamedia/,ZA Media,True,False,False,Photography Videography,"Cape Town Based Creative Agency 🇿🇦
Specializing in Videography 🎥
Animation 🙋‍♂️ & Photography 📸",http://www.zamedia.co.za,,,,,,125,1522,6896,capetownbusiness,2026-04-25T21:14:28.098449
alexandrahojer,https://www.instagram.com/alexandrahojer/,ALEXANDRA HÖJER,True,False,False,None,"We believe in creating less and creating better, crafting soulful pieces with timeless style that can be worn and loved for years.
CAPE TOWN - LISBON",https://alexandrahojer.com/,,,,,,2396,7939,1127,capetownbusiness,2026-04-25T21:14:43.735867
foodandhomesa,https://www.instagram.com/foodandhomesa/,Food&Home,True,False,False,Media,"Enjoy all things food, scrumptious recipes and the latest news & trends🍽️
On shelves: Autumn Issue 
Subscribe to our mag: 📧 subscriptions@hsm.co.za",https://awards.foodandhome.co.za/,subscriptions@hsm.co,,,,,2913,52148,994,capetownbusiness,2026-04-25T21:14:59.343736
jetfueldigital,https://www.instagram.com/jetfueldigital/,,True,False,False,Marketing Agency,"SEO | PPC | SMM | Copywriting | Web Development. Ignite your online presence, book your video or in-person consultation today! #digitalmarketing",https://jetfueldigital.co.za/,,,,,,18,2748,361,capetownbusiness,2026-04-25T21:15:15.308455
wildflower_ct,https://www.instagram.com/wildflower_ct/,Wildflower 🍉,False,False,False,Caterer,"🇿🇦 Cape Town, Strictly Halaal
DM/WhatsApp/Email (No phone calls)
Response time: 3 to 5 business days",,,,,,,170,9511,443,capetownbusiness,2026-04-25T21:15:31.197718
networkingeventsplug,https://www.instagram.com/networkingeventsplug/,Networking Events Plug SA,False,False,False,Community,"Networking/Business Events Hub🇿🇦💡:
Find events to attend or advertise your event 🗓️
Sign-up for the monthly/weekly newsletter 👇🏽",https://linktr.ee/networkingeventsplug,,,,,,186,11446,501,capetownbusiness,2026-04-25T21:15:46.851660
sm_stationers,https://www.instagram.com/sm_stationers/,Suzanna Maria Stationers,True,False,False,Product/service,"Dynamically growing and environmentally responsible 
thermal & bond till rolls | ribbons | stationery",https://castlepapercapetown.co.za/,,,,,,146,86,42,capetownbusiness,2026-04-25T21:16:02.504128
ultrawebsa,https://www.instagram.com/ultrawebsa/,UltraWebSA,True,False,False,Web Designer,"UltraWebSA is a smart digital marketing company. 
We help businesses succeed by merging, creative thinking and smart new technologies.",http://www.ultrawebsa.co.za/,,,,"Cape Town, Western Cape","athlone, Cape Town, Western Cape",232,194,1501,capetownbusiness,2026-04-25T21:16:18.213374
bizconnexity,https://www.instagram.com/bizconnexity/,Bizconnexity,True,False,False,Product/service,Cape Town’s Trusted Digital Marketing & Printing Agency,http://www.bizconnexity.co.za,,,,,,106,842,183,capetownbusiness,2026-04-25T21:16:33.807898
